Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
Kia Seltos,2018,12.55,17.81,244472,Petrol,Individual,Automatic,1
Hyundai Verna,2020,18.29,25.35,20282,CNG,Individual,Manual,0
Mahindra XUV500,2011,7.42,22.5,184272,CNG,Individual,Manual,0
Maruti Swift,2018,3.93,9.21,39228,Petrol,Individual,Automatic,0
Toyota Corolla,2018,7.56,21.75,147312,CNG,Individual,Automatic,0
Kia Seltos,2012,9.76,30.95,111108,Diesel,Individual,Manual,3
Hyundai i20,2020,7.82,9.9,102136,Diesel,Individual,Manual,2
Hyundai Verna,2009,2.54,10.33,49900,CNG,Individual,Manual,0
Kia Seltos,2013,6.66,24.08,14168,Diesel,Individual,Automatic,0
Toyota Corolla,2019,2.28,4.71,142653,Diesel,Dealer,Manual,0
Maruti Baleno,2012,15.73,33.29,244141,Petrol,Dealer,Manual,3
Kia Seltos,2008,5.35,14.69,13770,Diesel,Individual,Automatic,3
Hyundai Verna,2013,5.03,18.71,47070,Diesel,Individual,Automatic,0
Hyundai Verna,2016,10.42,21.93,140450,CNG,Individual,Automatic,0
Hyundai Verna,2021,10.33,22.54,78869,CNG,Individual,Manual,3
Mahindra Scorpio,2010,9.97,30.19,63557,CNG,Individual,Automatic,0
Mahindra Scorpio,2021,5.02,9.21,36337,CNG,Individual,Automatic,0
Kia Seltos,2021,13.99,22.36,38623,Petrol,Dealer,Manual,2
Maruti Swift,2017,10.31,24.29,235893,CNG,Dealer,Manual,2
Maruti Swift,2012,7.51,15.92,49363,Petrol,Dealer,Manual,3
Kia Seltos,2017,14.59,25.71,235363,Diesel,Dealer,Automatic,0
Toyota Fortuner,2017,10.61,29.38,139832,CNG,Individual,Automatic,1
Maruti Swift,2005,4.95,17.06,153049,Petrol,Dealer,Manual,3
Renault Kwid,2005,4.84,15.34,160378,CNG,Dealer,Manual,1
Renault Kwid,2014,4.58,13.94,146130,Petrol,Individual,Automatic,1
Honda City,2011,12.51,30.83,155611,Diesel,Dealer,Manual,1
Maruti Swift,2020,16.72,34.71,27785,Petrol,Dealer,Automatic,3
Kia Seltos,2017,6.85,15.18,174316,Petrol,Individual,Manual,2
Renault Kwid,2010,7.61,29.9,215357,CNG,Individual,Automatic,2
Mahindra XUV500,2010,13.48,28.04,41027,Diesel,Individual,Manual,2
Tata Nexon,2013,6.36,16.22,87279,CNG,Individual,Automatic,1
Toyota Corolla,2008,4.79,14.97,244511,CNG,Individual,Automatic,3
Hyundai i20,2009,11.36,31.37,229448,CNG,Individual,Manual,0
Mahindra Scorpio,2007,2.92,13.24,248166,CNG,Individual,Manual,0
Hyundai i20,2012,4.34,14.03,96575,Diesel,Dealer,Manual,3
Skoda Rapid,2009,3.11,9.54,155871,CNG,Dealer,Manual,0
Hyundai Verna,2018,1.38,3.02,208199,CNG,Individual,Manual,1
Mahindra Scorpio,2019,13.51,18.1,189233,Petrol,Individual,Manual,0
Skoda Rapid,2007,6.82,31.32,166475,Diesel,Individual,Manual,0
Mahindra Scorpio,2019,3.99,7.0,236312,Petrol,Individual,Automatic,1
Honda City,2013,11.13,20.27,81449,Petrol,Individual,Manual,2
Maruti Baleno,2014,11.71,29.28,131060,CNG,Individual,Manual,0
Honda City,2016,10.5,29.41,124619,CNG,Dealer,Automatic,2
Ford EcoSport,2017,15.05,22.67,31762,CNG,Dealer,Manual,2
Mahindra XUV500,2023,7.15,8.64,155023,Petrol,Dealer,Manual,3
Kia Seltos,2006,9.18,25.83,6708,CNG,Individual,Automatic,0
Honda City,2009,13.73,28.21,51099,Petrol,Individual,Automatic,3
Skoda Rapid,2023,11.86,18.93,196083,Diesel,Dealer,Manual,1
Hyundai i20,2005,5.72,20.57,7454,CNG,Dealer,Manual,3
Mahindra XUV500,2021,19.5,30.56,118613,CNG,Individual,Automatic,2
Maruti Swift,2008,5.98,28.62,189482,CNG,Dealer,Automatic,3
Hyundai Verna,2021,6.73,11.85,116431,CNG,Dealer,Automatic,2
Tata Nexon,2019,16.67,22.68,228518,CNG,Individual,Automatic,3
Hyundai i20,2015,13.02,30.78,24337,Diesel,Individual,Automatic,0
Hyundai i20,2013,6.72,11.2,54847,Diesel,Dealer,Automatic,2
Renault Kwid,2012,17.14,34.82,131439,CNG,Individual,Manual,2
Renault Kwid,2009,11.79,26.44,125356,Petrol,Individual,Automatic,0
Toyota Fortuner,2005,9.8,29.92,80969,CNG,Individual,Manual,0
Hyundai Verna,2008,5.75,15.43,137453,CNG,Dealer,Automatic,2
Ford EcoSport,2017,10.87,25.03,203700,Petrol,Dealer,Manual,1
Ford EcoSport,2021,12.73,18.52,94833,Diesel,Individual,Automatic,1
Tata Nexon,2019,4.06,8.97,73487,CNG,Individual,Automatic,1
Honda City,2011,4.51,17.72,72904,Petrol,Dealer,Automatic,0
Volkswagen Polo,2023,18.9,23.38,249437,CNG,Dealer,Manual,2
Mahindra Scorpio,2014,10.54,29.11,137661,Diesel,Individual,Automatic,3
Kia Seltos,2019,9.21,20.23,126534,Petrol,Dealer,Manual,3
Mahindra XUV500,2018,19.75,31.11,209535,Diesel,Dealer,Manual,0
Ford EcoSport,2021,14.56,18.87,167969,Diesel,Individual,Automatic,1
Skoda Rapid,2022,9.13,17.41,171277,Petrol,Individual,Manual,3
Mahindra XUV500,2005,2.15,6.29,189456,CNG,Individual,Automatic,3
Maruti Swift,2023,11.68,16.32,138296,Diesel,Individual,Automatic,3
Skoda Rapid,2005,7.41,32.7,49760,CNG,Individual,Manual,2
Renault Kwid,2017,5.53,8.03,226035,CNG,Dealer,Automatic,2
Maruti Baleno,2023,19.54,22.93,71852,Diesel,Dealer,Manual,1
Maruti Baleno,2013,6.94,17.71,72055,Diesel,Individual,Automatic,2
Renault Kwid,2011,12.67,27.33,7257,Petrol,Dealer,Automatic,2
Hyundai Verna,2013,15.98,30.7,123581,Diesel,Dealer,Automatic,0
Maruti Baleno,2006,3.86,15.03,95887,CNG,Individual,Automatic,2
Skoda Rapid,2016,5.06,15.04,52591,Diesel,Individual,Manual,3
Mahindra Scorpio,2007,6.28,24.01,31672,Diesel,Individual,Automatic,0
Toyota Fortuner,2014,1.31,2.48,25132,Diesel,Individual,Automatic,1
Ford EcoSport,2014,1.48,3.04,242954,CNG,Individual,Manual,3
Mahindra XUV500,2015,14.18,30.96,137473,Diesel,Individual,Manual,3
Toyota Fortuner,2021,13.72,19.2,7745,CNG,Individual,Manual,1
Kia Seltos,2013,2.28,5.97,86029,CNG,Individual,Automatic,0
Mahindra XUV500,2011,7.3,13.49,156165,CNG,Dealer,Automatic,0
Tata Nexon,2023,1.7,2.78,9426,Petrol,Dealer,Manual,3
Mahindra XUV500,2008,10.58,31.68,230180,Petrol,Dealer,Automatic,1
Hyundai i20,2016,2.66,3.91,117217,Petrol,Dealer,Manual,3
Kia Seltos,2015,18.8,33.77,191907,Diesel,Dealer,Manual,2
Mahindra Scorpio,2014,10.46,31.57,118688,Diesel,Dealer,Manual,2
Mahindra XUV500,2012,11.84,22.99,190326,CNG,Individual,Manual,2
Volkswagen Polo,2010,5.01,11.59,80451,Petrol,Dealer,Manual,0
Tata Nexon,2021,18.09,32.71,10939,Petrol,Dealer,Automatic,1
Toyota Fortuner,2006,3.26,9.98,238020,Diesel,Dealer,Automatic,0
Hyundai Verna,2022,9.1,20.05,48309,Petrol,Dealer,Automatic,2
Skoda Rapid,2012,4.54,8.9,229490,Petrol,Dealer,Automatic,2
Volkswagen Polo,2016,19.36,33.7,117911,CNG,Individual,Automatic,3
Hyundai i20,2016,4.07,10.56,199136,Diesel,Dealer,Manual,2
Skoda Rapid,2010,3.59,8.27,235258,Petrol,Dealer,Manual,1
Mahindra XUV500,2020,22.88,34.25,206974,Petrol,Individual,Automatic,1
Tata Nexon,2005,5.78,17.12,167384,CNG,Individual,Automatic,1
Skoda Rapid,2016,0.94,2.4,27601,Petrol,Individual,Automatic,3
Skoda Rapid,2014,4.65,12.62,89289,CNG,Individual,Automatic,2
Skoda Rapid,2007,9.25,31.52,71732,Diesel,Individual,Manual,1
Toyota Corolla,2006,11.48,34.78,221735,Petrol,Dealer,Manual,0
Toyota Corolla,2007,1.52,3.9,131310,CNG,Individual,Automatic,0
Kia Seltos,2022,19.74,23.67,187385,Petrol,Individual,Automatic,0
Hyundai i20,2014,10.14,29.71,14256,Petrol,Dealer,Automatic,0
Honda City,2017,5.14,9.42,199115,Petrol,Individual,Manual,3
Volkswagen Polo,2016,17.51,27.04,113946,Petrol,Individual,Manual,2
Hyundai Verna,2012,6.55,15.23,206165,CNG,Individual,Automatic,2
Toyota Corolla,2012,2.27,8.14,98330,CNG,Individual,Automatic,1
Hyundai Verna,2019,21.57,31.02,183048,CNG,Dealer,Automatic,2
Kia Seltos,2008,10.85,24.89,24991,Diesel,Individual,Manual,1
Tata Nexon,2017,1.56,3.24,42044,Diesel,Dealer,Manual,0
Honda City,2010,1.22,3.8,244241,CNG,Dealer,Automatic,0
Mahindra Scorpio,2023,2.77,3.71,80715,Diesel,Dealer,Manual,3
Honda City,2017,6.63,15.95,62649,Diesel,Individual,Manual,0
Ford EcoSport,2018,4.49,6.14,222583,CNG,Dealer,Automatic,3
Hyundai i20,2012,6.25,23.81,115138,CNG,Dealer,Automatic,1
Toyota Corolla,2013,5.1,10.87,74087,Diesel,Individual,Manual,0
Honda City,2019,16.4,25.58,147228,Petrol,Individual,Manual,0
Tata Nexon,2008,7.96,34.09,100102,Diesel,Individual,Manual,3
Skoda Rapid,2005,1.39,6.03,18689,CNG,Dealer,Automatic,0
Maruti Swift,2013,2.71,8.44,26644,Diesel,Individual,Automatic,3
Volkswagen Polo,2021,13.15,25.99,5174,Petrol,Dealer,Automatic,0
Ford EcoSport,2019,13.04,18.72,134887,Diesel,Dealer,Manual,2
Hyundai Verna,2018,14.05,25.22,186517,Diesel,Dealer,Manual,3
Skoda Rapid,2023,16.01,25.3,218984,Petrol,Individual,Manual,0
Skoda Rapid,2020,13.77,30.47,247188,Diesel,Dealer,Manual,3
Mahindra Scorpio,2014,14.79,28.69,126950,CNG,Individual,Automatic,1
Hyundai i20,2012,5.61,10.27,242942,CNG,Individual,Automatic,2
Skoda Rapid,2020,3.59,7.37,111464,Petrol,Individual,Automatic,0
Ford EcoSport,2016,12.02,22.5,24552,Petrol,Dealer,Automatic,1
Toyota Fortuner,2005,2.14,11.43,123639,Petrol,Dealer,Automatic,0
Toyota Fortuner,2019,8.88,14.59,240808,Petrol,Individual,Automatic,2
Renault Kwid,2023,16.68,27.91,127332,Petrol,Individual,Automatic,2
Maruti Baleno,2012,1.82,4.23,109092,Diesel,Dealer,Automatic,1
Skoda Rapid,2013,10.57,26.35,115041,Petrol,Dealer,Manual,0
Tata Nexon,2007,2.9,8.78,37088,CNG,Individual,Automatic,3
Tata Nexon,2015,8.67,21.65,230498,Petrol,Dealer,Automatic,3
Honda City,2016,5.3,17.11,237930,CNG,Individual,Automatic,0
Skoda Rapid,2010,4.12,10.28,8849,Petrol,Dealer,Automatic,3
Volkswagen Polo,2008,2.41,10.23,23689,Petrol,Individual,Manual,2
Toyota Fortuner,2019,5.47,9.03,139066,Petrol,Dealer,Automatic,1
Honda City,2017,8.2,15.47,65272,Petrol,Individual,Manual,0
Tata Nexon,2005,2.94,9.28,81872,Petrol,Individual,Automatic,3
Mahindra XUV500,2021,12.99,18.44,121506,Diesel,Individual,Manual,3
Maruti Baleno,2019,8.05,10.54,74212,CNG,Dealer,Manual,1
Maruti Swift,2021,8.13,20.05,96176,Diesel,Individual,Automatic,0
Hyundai i20,2019,12.01,26.38,59318,CNG,Dealer,Manual,1
Hyundai i20,2012,6.46,13.71,124729,CNG,Individual,Automatic,0
Hyundai Verna,2020,9.9,12.99,71897,Diesel,Dealer,Manual,3
Honda City,2018,8.19,15.12,5869,Petrol,Dealer,Automatic,2
Maruti Baleno,2018,6.62,14.25,225232,Petrol,Individual,Manual,0
Volkswagen Polo,2005,8.22,31.55,91664,Diesel,Individual,Manual,0
Mahindra Scorpio,2015,12.19,23.05,112237,Diesel,Individual,Automatic,1
Hyundai Verna,2019,2.44,4.11,160489,CNG,Individual,Automatic,2
Mahindra XUV500,2008,9.65,21.48,177166,Petrol,Dealer,Automatic,3
Mahindra Scorpio,2005,10.09,27.23,18261,Diesel,Individual,Manual,0
Hyundai Verna,2020,14.09,19.04,105336,Diesel,Individual,Manual,1
Ford EcoSport,2019,10.98,24.61,87722,Petrol,Dealer,Automatic,3
Hyundai Verna,2014,11.52,19.67,62620,Petrol,Dealer,Automatic,3
Volkswagen Polo,2018,15.47,32.16,246503,Petrol,Individual,Automatic,1
Honda City,2011,3.98,9.65,28408,Petrol,Dealer,Manual,1
Honda City,2011,2.93,8.4,228861,Petrol,Individual,Manual,0
Kia Seltos,2013,2.89,7.29,6700,CNG,Dealer,Automatic,1
Toyota Fortuner,2017,4.68,7.45,172527,Petrol,Individual,Manual,1
Volkswagen Polo,2005,3.0,13.39,75269,CNG,Individual,Automatic,2
Kia Seltos,2019,2.59,5.48,48939,Diesel,Dealer,Automatic,3
Skoda Rapid,2019,8.69,14.9,54298,Diesel,Dealer,Automatic,3
Volkswagen Polo,2013,6.38,15.72,220997,Petrol,Dealer,Manual,1
Mahindra XUV500,2005,2.68,8.72,166121,CNG,Dealer,Automatic,0
Maruti Swift,2017,17.57,24.99,164988,Petrol,Dealer,Manual,3
Mahindra Scorpio,2011,2.3,5.77,135841,Petrol,Dealer,Manual,1
Hyundai Verna,2005,0.68,2.6,148888,CNG,Dealer,Manual,0
Maruti Swift,2015,12.05,24.72,166147,Petrol,Individual,Automatic,0
Honda City,2020,4.8,8.71,30963,CNG,Individual,Manual,2
Renault Kwid,2023,17.72,30.21,230708,CNG,Dealer,Manual,0
Mahindra XUV500,2012,1.03,2.51,187831,Diesel,Individual,Automatic,1
Hyundai Verna,2012,12.77,33.95,161379,Petrol,Dealer,Manual,1
Tata Nexon,2019,4.18,9.64,181348,CNG,Individual,Manual,2
Skoda Rapid,2018,6.85,14.29,216002,CNG,Individual,Automatic,2
Maruti Baleno,2015,15.31,32.67,69925,CNG,Individual,Automatic,3
Mahindra Scorpio,2006,8.75,27.5,83542,Petrol,Individual,Automatic,0
Maruti Baleno,2020,17.35,26.81,106158,Diesel,Individual,Manual,2
Mahindra XUV500,2011,7.7,23.86,171782,Diesel,Dealer,Automatic,0
Maruti Baleno,2007,6.22,16.29,50913,Diesel,Dealer,Manual,1
Ford EcoSport,2014,6.12,15.69,44178,Diesel,Individual,Automatic,3
Maruti Swift,2017,5.55,9.09,203237,Diesel,Individual,Automatic,3
Toyota Fortuner,2006,2.35,6.41,54522,Diesel,Dealer,Automatic,1
Hyundai Verna,2010,6.39,19.6,189514,Diesel,Dealer,Automatic,0
Mahindra XUV500,2018,5.96,9.22,122603,CNG,Individual,Automatic,2
Maruti Baleno,2008,6.71,17.23,130814,Diesel,Individual,Automatic,1
Honda City,2005,4.25,16.27,95880,Petrol,Dealer,Automatic,1
Toyota Fortuner,2019,10.65,20.39,172031,Diesel,Individual,Automatic,1
Maruti Swift,2012,13.03,26.3,83278,Petrol,Individual,Automatic,1
Volkswagen Polo,2010,2.39,5.13,229531,CNG,Dealer,Manual,2
Honda City,2007,9.57,34.92,182826,CNG,Dealer,Automatic,0
Mahindra Scorpio,2015,4.46,13.89,206202,Diesel,Dealer,Automatic,2
Mahindra XUV500,2007,0.52,2.52,48469,Diesel,Dealer,Automatic,3
Toyota Corolla,2015,0.95,2.18,182359,Petrol,Dealer,Manual,1
Ford EcoSport,2023,11.25,16.6,38340,CNG,Dealer,Automatic,3
Maruti Baleno,2015,21.41,32.66,208446,Petrol,Dealer,Manual,0
Skoda Rapid,2022,14.36,23.43,141304,Diesel,Individual,Automatic,0
Mahindra Scorpio,2022,6.35,13.96,241213,Diesel,Individual,Manual,2
Kia Seltos,2013,7.45,23.26,24288,Petrol,Individual,Automatic,1
Toyota Fortuner,2008,5.1,15.66,21999,Diesel,Individual,Automatic,2
Ford EcoSport,2018,2.06,4.0,140601,Petrol,Dealer,Manual,2
Maruti Swift,2010,7.91,19.69,139327,Diesel,Individual,Manual,0
Tata Nexon,2010,7.77,23.21,28989,Diesel,Dealer,Automatic,3
Toyota Fortuner,2012,2.26,4.2,94049,Diesel,Dealer,Automatic,3
Kia Seltos,2015,3.85,8.97,94132,CNG,Dealer,Automatic,3
Ford EcoSport,2013,20.74,34.91,178860,Diesel,Dealer,Manual,2
Maruti Baleno,2019,15.73,29.96,74341,Diesel,Individual,Automatic,2
Hyundai i20,2021,13.0,24.09,208561,Diesel,Dealer,Manual,1
Toyota Corolla,2011,4.76,8.96,248489,CNG,Individual,Automatic,1
Maruti Baleno,2019,2.67,6.86,238346,Petrol,Individual,Manual,3
Maruti Baleno,2012,4.6,8.84,119879,Petrol,Individual,Automatic,3
Tata Nexon,2021,5.89,13.67,219028,Petrol,Individual,Automatic,3
Volkswagen Polo,2006,8.64,29.37,50066,Diesel,Individual,Automatic,0
Maruti Swift,2012,4.95,12.02,195359,CNG,Individual,Automatic,3
Hyundai i20,2005,3.99,17.17,30566,Diesel,Dealer,Manual,1
Volkswagen Polo,2013,4.07,8.29,75744,Diesel,Dealer,Automatic,3
Toyota Corolla,2019,2.5,3.48,63870,CNG,Dealer,Manual,3
Kia Seltos,2022,13.51,17.54,216144,CNG,Individual,Automatic,1
Toyota Fortuner,2007,10.87,28.39,16151,CNG,Dealer,Automatic,2
Maruti Baleno,2012,4.17,8.48,128728,Petrol,Dealer,Automatic,2
Tata Nexon,2018,13.95,23.28,131083,CNG,Individual,Manual,0
Hyundai i20,2010,8.61,30.21,86972,Diesel,Dealer,Automatic,2
Honda City,2020,7.97,11.43,68909,CNG,Individual,Automatic,0
Toyota Fortuner,2014,7.89,14.12,185922,Petrol,Dealer,Manual,0
Hyundai Verna,2013,3.68,10.34,239196,Diesel,Individual,Manual,2
Toyota Corolla,2017,12.53,30.73,233977,Petrol,Individual,Automatic,0
Hyundai Verna,2005,7.51,20.29,187220,Petrol,Individual,Automatic,3
Maruti Swift,2018,11.51,22.13,103618,Diesel,Dealer,Manual,0
Hyundai i20,2020,17.66,22.3,212605,Diesel,Dealer,Manual,1
Maruti Swift,2018,10.16,29.31,237204,CNG,Dealer,Automatic,0
Kia Seltos,2012,3.95,9.48,218134,Petrol,Individual,Automatic,3
Hyundai i20,2005,5.35,30.15,171536,Diesel,Dealer,Manual,3
Ford EcoSport,2020,6.1,9.84,236182,Petrol,Dealer,Automatic,0
Mahindra XUV500,2016,7.56,14.53,237679,Diesel,Individual,Manual,2
Tata Nexon,2021,7.04,8.96,112228,Petrol,Dealer,Automatic,2
Honda City,2022,6.36,12.5,161140,CNG,Individual,Automatic,0
Maruti Baleno,2015,7.37,11.65,229404,CNG,Individual,Manual,3
Honda City,2021,18.73,23.56,216127,Diesel,Individual,Automatic,1
Maruti Swift,2008,2.86,13.56,126008,CNG,Individual,Automatic,0
Ford EcoSport,2013,5.14,13.45,163395,Diesel,Dealer,Automatic,3
Hyundai i20,2005,1.85,4.94,168623,Petrol,Dealer,Automatic,3
Ford EcoSport,2008,3.1,8.55,128802,Petrol,Dealer,Automatic,3
Volkswagen Polo,2018,8.76,16.81,110982,Diesel,Dealer,Automatic,3
Volkswagen Polo,2013,14.52,26.79,103239,Diesel,Dealer,Manual,3
Kia Seltos,2020,18.61,27.88,219178,Petrol,Dealer,Automatic,1
Renault Kwid,2022,15.89,31.55,248158,CNG,Individual,Manual,3
Mahindra Scorpio,2006,3.02,8.09,28929,Petrol,Dealer,Automatic,0
Toyota Fortuner,2005,1.76,5.86,109188,CNG,Individual,Automatic,1
Maruti Baleno,2009,6.53,13.72,100082,CNG,Dealer,Automatic,2
Maruti Swift,2007,5.71,20.7,211486,CNG,Individual,Automatic,1
Ford EcoSport,2012,11.84,29.28,75204,Petrol,Individual,Manual,0
Maruti Baleno,2017,12.95,21.31,81996,Petrol,Dealer,Automatic,1
Hyundai Verna,2023,17.83,23.74,23395,CNG,Individual,Manual,2
Toyota Corolla,2013,0.87,3.05,36417,Petrol,Individual,Manual,1
Volkswagen Polo,2016,6.87,19.28,91567,Petrol,Dealer,Manual,0
Toyota Fortuner,2014,16.28,29.18,79960,Diesel,Individual,Manual,0
Hyundai Verna,2019,1.83,3.71,64993,Petrol,Dealer,Automatic,0
Skoda Rapid,2010,9.73,20.67,242069,CNG,Individual,Manual,2
Maruti Swift,2017,11.74,17.15,14460,CNG,Individual,Automatic,0
Hyundai i20,2006,1.03,3.08,49036,Diesel,Individual,Automatic,1
Kia Seltos,2022,7.42,12.96,10368,Diesel,Individual,Manual,2
Toyota Corolla,2019,13.68,22.22,29042,CNG,Individual,Manual,0
Maruti Swift,2008,6.72,24.48,116023,Petrol,Dealer,Manual,2
Mahindra XUV500,2007,3.62,13.71,114708,Diesel,Individual,Automatic,1
Hyundai Verna,2019,4.11,11.5,235183,CNG,Individual,Automatic,3
Renault Kwid,2017,15.38,25.43,116362,Diesel,Individual,Automatic,2
Hyundai Verna,2011,3.34,9.27,57999,CNG,Individual,Automatic,2
Kia Seltos,2020,10.65,15.31,80209,Diesel,Individual,Automatic,0
Hyundai Verna,2006,11.71,29.21,60468,CNG,Dealer,Automatic,1
Ford EcoSport,2018,3.74,5.55,8164,CNG,Individual,Automatic,1
Volkswagen Polo,2013,5.55,12.18,194651,Diesel,Individual,Automatic,2
Tata Nexon,2015,9.42,25.52,176103,CNG,Individual,Manual,0
Volkswagen Polo,2010,6.02,16.54,88136,Diesel,Individual,Manual,2
Renault Kwid,2007,7.87,34.92,138195,CNG,Individual,Manual,1
Kia Seltos,2013,3.47,7.98,55258,Petrol,Dealer,Manual,2
Toyota Fortuner,2006,2.68,7.64,236791,CNG,Dealer,Automatic,1
Mahindra Scorpio,2013,1.03,3.73,82154,Diesel,Individual,Manual,2
Hyundai i20,2017,3.98,12.05,221784,Diesel,Individual,Automatic,3
Tata Nexon,2015,8.01,15.86,191098,Diesel,Dealer,Manual,2
Tata Nexon,2016,6.41,12.35,46198,Diesel,Individual,Automatic,0
Mahindra XUV500,2006,1.58,4.04,127778,CNG,Dealer,Manual,3
Maruti Swift,2018,3.53,8.42,247555,Petrol,Individual,Manual,0
Mahindra XUV500,2008,6.41,28.97,174796,Diesel,Individual,Automatic,3
Hyundai Verna,2016,7.29,11.48,98846,Diesel,Individual,Manual,0
Mahindra Scorpio,2009,7.27,26.01,74518,CNG,Individual,Automatic,2
Hyundai i20,2009,8.54,27.09,135035,Petrol,Individual,Manual,1
Skoda Rapid,2020,5.4,7.65,112445,Diesel,Dealer,Manual,2
Toyota Corolla,2008,11.76,31.24,100598,Petrol,Dealer,Manual,2
Toyota Corolla,2019,14.29,28.09,242715,Petrol,Individual,Automatic,1
Volkswagen Polo,2015,9.09,13.9,31553,Petrol,Individual,Automatic,0
Hyundai Verna,2011,2.47,5.87,243057,Diesel,Dealer,Automatic,2
Maruti Baleno,2023,20.54,34.51,5287,Diesel,Dealer,Automatic,1
Maruti Swift,2021,12.55,18.52,111511,Diesel,Dealer,Manual,2
Maruti Swift,2015,7.83,20.35,162699,CNG,Individual,Manual,1
Hyundai i20,2005,6.14,18.24,12135,Petrol,Dealer,Automatic,0
Hyundai Verna,2014,15.76,30.56,146842,Diesel,Dealer,Automatic,1
Hyundai i20,2007,4.87,12.7,138609,CNG,Dealer,Automatic,1
Hyundai Verna,2010,2.02,6.73,67559,Petrol,Individual,Automatic,1
Toyota Corolla,2013,11.08,23.52,187574,Petrol,Individual,Automatic,0
Ford EcoSport,2022,2.83,3.48,92592,Diesel,Individual,Automatic,0
Kia Seltos,2013,9.55,17.36,50256,Diesel,Individual,Manual,1
Hyundai i20,2006,5.93,16.07,217603,Diesel,Dealer,Automatic,2
Toyota Fortuner,2019,11.59,31.38,167971,Petrol,Dealer,Automatic,0
Tata Nexon,2009,5.71,21.83,74517,Diesel,Individual,Automatic,3
Renault Kwid,2008,15.35,34.72,143261,Diesel,Dealer,Automatic,0
Skoda Rapid,2005,5.11,29.64,197659,Diesel,Individual,Manual,2
Toyota Fortuner,2020,5.02,9.19,135499,Petrol,Individual,Manual,1
Mahindra XUV500,2010,8.15,24.59,248024,Petrol,Dealer,Automatic,0
Toyota Corolla,2016,11.16,32.5,166077,CNG,Individual,Automatic,0
Maruti Swift,2012,5.57,11.51,72789,CNG,Dealer,Manual,0
Hyundai Verna,2023,5.68,6.89,74590,Petrol,Dealer,Automatic,2
Renault Kwid,2010,9.93,28.8,45542,Diesel,Individual,Manual,0
Ford EcoSport,2012,2.93,5.13,168539,CNG,Individual,Manual,2
Volkswagen Polo,2015,11.51,19.55,100961,CNG,Individual,Automatic,2
Honda City,2019,5.92,12.5,99913,Petrol,Individual,Automatic,3
Toyota Corolla,2005,6.75,22.87,133674,Petrol,Dealer,Automatic,3
Hyundai Verna,2013,13.57,28.54,152698,Diesel,Dealer,Automatic,2
Ford EcoSport,2017,1.16,2.85,247773,CNG,Dealer,Manual,1
Renault Kwid,2012,11.65,33.79,57975,CNG,Individual,Manual,2
Volkswagen Polo,2023,12.12,29.47,44346,CNG,Dealer,Manual,1
Maruti Swift,2015,1.72,3.37,99634,CNG,Individual,Automatic,1
Skoda Rapid,2014,2.89,7.08,185066,CNG,Individual,Automatic,2
Mahindra Scorpio,2011,6.14,17.38,244512,Diesel,Individual,Automatic,3
Renault Kwid,2009,1.11,2.69,169439,Petrol,Dealer,Manual,0
Renault Kwid,2008,4.58,15.07,126136,CNG,Individual,Automatic,2
Hyundai Verna,2017,3.81,5.97,45475,CNG,Dealer,Manual,1
Toyota Fortuner,2023,3.95,4.53,163477,Diesel,Dealer,Automatic,3
Mahindra Scorpio,2017,3.24,5.8,150399,Petrol,Dealer,Automatic,1
Renault Kwid,2010,8.67,17.03,191584,Diesel,Dealer,Automatic,0
Maruti Swift,2014,7.07,17.75,5390,Petrol,Individual,Automatic,2
Maruti Swift,2016,4.87,14.93,14121,Petrol,Individual,Manual,1
Toyota Corolla,2011,6.96,21.64,116048,Petrol,Dealer,Automatic,0
Maruti Baleno,2022,10.96,19.49,207538,CNG,Individual,Automatic,0
Toyota Fortuner,2020,7.92,20.43,21122,CNG,Dealer,Automatic,0
Maruti Baleno,2020,14.96,21.36,41483,Diesel,Individual,Automatic,2
Volkswagen Polo,2008,8.13,27.85,136764,CNG,Dealer,Manual,0
Mahindra Scorpio,2017,8.19,15.01,12211,Diesel,Dealer,Manual,1
Mahindra Scorpio,2014,11.16,17.88,192620,Diesel,Individual,Manual,2
Kia Seltos,2016,15.47,28.87,6184,CNG,Individual,Manual,2
Volkswagen Polo,2016,2.24,3.8,154762,CNG,Dealer,Automatic,3
Maruti Swift,2005,8.82,29.57,217574,Diesel,Dealer,Automatic,2
Mahindra Scorpio,2006,8.13,28.39,153929,CNG,Individual,Automatic,0
Tata Nexon,2020,11.05,30.59,76334,CNG,Dealer,Manual,0
Volkswagen Polo,2009,8.1,21.94,92593,Petrol,Individual,Manual,1
Mahindra XUV500,2019,9.64,22.64,56322,CNG,Dealer,Manual,1
Ford EcoSport,2007,1.52,3.69,122358,Diesel,Dealer,Manual,2
Honda City,2019,10.49,18.69,132572,CNG,Dealer,Automatic,2
Tata Nexon,2020,3.42,8.66,208085,Petrol,Dealer,Manual,2
Toyota Fortuner,2006,2.11,8.11,49439,Petrol,Dealer,Automatic,0
Toyota Fortuner,2012,6.02,11.79,172896,Diesel,Individual,Manual,0
Renault Kwid,2020,16.45,24.46,204544,CNG,Dealer,Automatic,2
Renault Kwid,2022,12.33,32.63,70066,Diesel,Individual,Automatic,2
Maruti Swift,2023,5.17,12.93,182823,CNG,Dealer,Automatic,3
